,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10
1213184,2122736,2873360,2081408,3562720,2092720,1673728,2209536,1921248,1776208,1509424
1213856,2243360,4126304,2825760,1128960,1378608,2544976,1505952,1578864,2015440,1762656
1220576,1697808,2209424,1739024,3951136,3561824,2507120,1775088,4008928,1524432,1453424
1220912,1727712,1865360,2273376,3490928,1683808,3724224,1908816,1961680,2367680,1391488
1225392,1597904,1760416,1755936,3744832,2468592,1681792,2532208,2724064,2414720,1713376
1229424,1623216,3604832,2920624,2764496,1579648,2028320,1740592,3475808,2753520,3558576
1231664,2583504,1616496,2842336,3610656,3920112,3066224,1685824,2300256,1771616,3495408
1235696,1376480,1665216,1687504,2329712,1675072,2329152,1600368,1387904,3658704,2209872
1241296,1900080,2532768,1463952,2167088,2578016,1685376,1137360,2927904,2039632,3559360
1242864,1553888,1648192,3130960,1867152,2546432,1645840,2226784,2152976,2281440,2181760
1244544,1350720,1361024,1405824,2362192,3129840,1382752,3375232,2690240,3155488,2429840
1247680,3352160,2957248,1885408,1621424,2333968,1652560,2548112,1658496,1740144,2706368
1251824,1361024,2429392,1694000,2232944,2839872,2946608,3138800,3155488,3917088,2075248
1252720,4114656,2846592,1741936,2840656,1979040,2411808,2517984,3644368,1648976,1492288
1257536,3304112,3490592,1135456,2952096,1413552,1374240,2928688,2444400,1924944,1828176
1259216,1725696,2061920,1865360,3938928,1908816,1574272,3098816,1776432,3292464,2831696
1259328,3063536,2095856,1469552,3097360,2376976,2043664,1561616,1139936,3320688,1607872
1260560,3092096,2055312,2148272,1766912,3655680,2763264,1487920,2373056,1129296,1632064
1262464,1705872,1411984,3783808,1920912,3083472,1726032,3712240,2842448,2154656,1930320
1268512,1700496,2558080,1922144,2685648,1126720,1415792,1444800,3949008,1686720,2139760
1276240,2119152,1776880,3353280,2452576,2075696,1135792,1667568,3129840,1758960,4170208
1277248,2807728,3469760,1908816,1573040,2824528,2121056,2402288,2957248,3490256,1610000
1281280,2886352,1551200,2160144,2691696,2045568,2224320,1396192,2157568,2764384,1549072
1281392,3107552,1768592,2155888,3374000,1692880,4164832,2432864,1776208,2043664,1358448
1285648,1760416,2565024,1424416,3555552,1949920,2496592,2411696,1608096,2469936,2075472
1286544,2419648,1914528,1143968,1350496,1694448,4040400,2117136,1141840,4125632,3438400
1288224,2240336,1121568,1841056,1966048,1548960,1940512,3893344,3345552,2304400,2225664
1294608,2926672,1125936,3108000,1702960,2147712,2308432,1566208,1386784,2164512,1651328
1296288,1358672,1452752,1885184,1780352,2824864,1548736,1719200,2396688,1373568,4056640
1296512,2041648,1627808,1991584,1907024,2251088,1918784,2718016,2002672,2555280,2716560
1303792,1361024,2090816,3483312,2474304,1617392,3129728,1996512,3331664,1677760,2396016
1304912,2887472,1605072,2256240,1717968,2426816,2450448,1523872,1411648,2425136,1450848
1316896,1740704,2754976,2187136,1559376,1861552,1677872,2186016,2365104,1440432,2255904
1318128,2943584,1685488,3712912,1386672,2601872,2415952,1370432,1677200,1725472,2398032
1318240,1681344,2414048,2276288,1120896,3063536,2550688,3409392,2055984,4012400,2845024
1322160,3417904,2946720,2073568,1728496,2242800,1137360,2366672,1860992,2914912,2449552
1323280,2502864,2506336,2414720,1755936,1976352,3744832,4136608,1760416,3604832,2557968
1324624,2517984,2472736,2095296,2577904,2214800,2499504,2839872,2946608,2953104,2314144
1327424,2434544,1682016,1804320,2521792,1514352,2337664,1536640,3554208,1976576,2909872
1328208,2123072,2532768,3150896,2079504,3893344,2451456,1954288,3376016,2028656,2040080
1328656,3831296,1417584,1815184,1353296,2373952,2265984,2073008,2706368,1682016,1917216
1328992,2558304,2708160,1905680,1648752,1767584,1609776,2119376,1600256,1664432,2167088
1329552,2086336,3063536,3698576,3150112,3154480,1449952,3097360,1667120,1626240,4008928
1330784,3129840,2426816,1624112,1763664,2394896,1905680,3375232,1350720,1523872,2699200
1336272,1916320,2223648,4011056,1761760,2943920,2816352,2219952,2958368,1685712,2217040
1337840,1731968,1429792,2367008,3107440,2352560,2801008,1992704,2413264,2520896,1621424
1338960,1926288,3096016,1378496,1688624,2824528,1519616,1419264,1870064,2566928,2943024
1340640,1376480,1416464,1665216,1401568,2314144,3974096,2356144,3193904,2119376,2502752
1344896,1609776,1471008,2223648,3410624,1690864,4008928,1120784,1139936,3184608,1351504
1345456,1452752,2687104,2119488,2425024,2061472,2310784,2155776,4114768,2227680,1517488
1346912,2377984,1778896,1655584,1125040,2957472,2900576,3419136,1559152,2017680,2351888
1354080,2405872,2085776,2199904,3068240,3788624,2495136,1901536,2136176,2906848,1121008
1354192,1758736,2535344,1435616,1390256,1962688,1131872,2111424,2108512,2079168,3430448
1357664,1531600,2582384,2853760,2724064,3194016,1671936,1509984,1873536,1471456,1681792
1360464,2847152,3408608,1934800,2520224,1696016,1873312,2083536,2716560,2039520,2602880
1362032,1361024,2227568,2681168,2601424,2412928,1917216,1940736,2517088,2943472,2575216
1362816,4028976,2637936,2755312,2090816,3784928,3191888,3064208,2914912,1549856,2310000
1363376,1813616,1361024,2136176,1630160,1351952,2824528,1987440,1686160,2118816,2537808
1364048,2290512,2069872,2080288,2155888,1374016,1703632,1984304,2821504,2001776,1125600
1365952,1901984,1650992,3285408,2807728,2232944,2094848,3353056,2073008,3375344,2224768
1366736,2035488,3714032,2845472,2336656,2937424,2912896,2274832,2149952,1768368,3723664
1368304,2153648,1661520,2845472,2306640,1819776,1645728,3556336,1838592,1750448,1578416
1369088,1636320,1124256,1683360,1396192,2299920,1128064,2464224,3555888,3406816,2824976
1372896,3603712,3162880,2761248,1925168,1777888,1645840,2846480,1704864,2302944,1725472
1374464,2005584,2839984,2055984,3555664,2077152,1384768,1565760,1984304,2081408,1580208
1376256,2850848,2074352,2842448,1121008,2200016,3083472,1777328,1377376,2045232,2367456
1377152,3098704,2165520,2069760,2201808,1901536,2460640,2788576,1538544,2043552,1429120
1377488,1423968,2528400,2306192,1607424,2290512,1998416,2943920,2816352,2419648,2440816
1380960,1429120,2916032,2438912,1845648,2109408,2351776,2459632,1841952,2122288,2291744
1383984,2843680,4114656,1395520,1613360,2540944,1384880,1677984,2307424,2396688,2797200
1386560,2337664,1687392,2511824,1536640,2565136,3917088,1548736,1813616,1387456,2336432
1390032,2337664,2256016,3417568,1771616,2243472,3358544,1566320,1647968,2537696,1962688
1391376,1635648,1453872,1801408,2511712,1633744,2873248,1566544,3098704,2463216,3716608
1394512,1765456,1900080,2916480,1458576,1686720,1870064,1592528,2930032,3416784,2208192
1395632,3744832,1678208,2455040,1650992,2853760,2362192,2899904,1671936,1537536,1429792
1396304,1622208,1377824,1919008,2014880,1140832,4030320,1691872,4080384,1707888,3311504
1397760,1977248,1518160,2242464,1770160,1384656,1625344,1553216,2515408,1673728,1648192
1402016,1534624,2906848,1413888,3788624,2240336,1964928,2141216,2303056,2422672,2223648
1403696,1551200,3556448,1398432,1767136,3155488,2845920,1600256,2019920,2197440,2637712
1404816,2429392,1655136,2499504,1905680,2888368,2800224,2224768,1866368,1907808,3095792
1405152,1685712,3953824,1686944,2329040,2563008,1137360,2601872,1968400,2067856,2724288
1405936,2440816,2110528,1389136,1616496,3953152,1519952,2943920,2580704,2816352,3066224
1416800,1964480,1671936,2276064,1380848,3945648,1904560,1578864,3346336,2413488,1598352
1418256,1129296,2373056,1607312,1729392,3178896,2450448,2441376,1125600,1544816,3478832
1419264,1649872,2110528,2329040,1685712,1986656,2929696,2578016,1557584,2108400,1691088
1419600,3083472,2351776,1487920,2578016,1676528,2563008,2951088,1856960,2291744,1949808
1421840,2052848,2583504,4006352,3495408,1519952,3066224,2842336,1489040,2209424,1616496
1423408,2373392,2154208,2018688,2927792,2455152,2181760,4067728,3107216,1804544,1508416
1426208,1361024,2070544,2317952,3562384,2685648,2601424,3948896,1789088,3156160,1132096
1429680,1390256,2433984,3495408,1907136,1505952,3095008,2842336,1401120,2567152,2810304
1433264,2243360,1690192,2846368,1760416,2028320,1646400,2847152,2051616,1549296,2842560
1433600,2396688,1682016,2055984,2192064,1966608,2112880,2001776,2706368,3181584,2139424
1438304,1648192,2018688,1608544,2289952,2371376,1553216,1385440,2493456,2065840,2446304
1441328,2049824,3743152,3130624,2928912,1591632,1126608,2323664,2418528,1579984,2300032
1444688,1625344,1953056,2365552,3930528,3374560,1494416,3111472,1636992,1683808,3358432
1445136,1413776,1520288,1125376,2397136,1538208,2942240,3816960,1394960,4043536,1674064
1447040,1617392,1447712,1650992,1482656,1857072,2887472,1131648,1678208,3655792,2229696
1447600,1907808,3290672,1687504,1387120,3141712,3932208,1364496,2508240,1548288,1600368
1449728,1650992,2445072,1788080,2455040,1678208,2542848,1429792,1939056,2809856,1858864
1449952,2344832,1729056,1984864,2118144,2314144,1438080,2076704,3130064,2525600,1428896
1450960,1725472,1408512,2073568,1777888,2226784,1693104,1860992,1137360,1645840,3533040
1451856,1621872,1905232,2305296,2227680,3781120,3922016,2108176,3429888,1652896,2910992
1451968,3098368,2251088,1865360,1532272,3063536,1671376,2555392,1619184,2814224,3945648
1454432,1508752,3604272,3068352,3604496,1746304,2033920,1683248,1356768,3831968,1691424
1455328,2336432,2224320,3064992,1822688,3559920,2416512,2953440,3374784,1429792,2168992
1460368,2396688,1921248,1687168,2155328,3922352,2236528,1687840,2789136,1477616,1419264
1462608,2964976,2051728,2282896,3430448,2176832,1750224,1481648,2821280,2532208,2224208
1466528,2121616,2239664,1361024,1929312,3973872,1915760,1887312,1705872,2429392,1920912
1474144,1371328,2045568,2383360,3368064,2910320,4044880,1426208,1935584,1516928,1838592
1475488,1969856,1610896,2251536,1401568,2549120,1921024,1527120,1367072,2353568,1605184
1477280,2757888,1687504,1930320,3068352,2342816,2331840,2928240,1416128,2002784,1756496
1479296,2200128,2338784,1126720,3950688,1450064,1963696,2119376,1862672,3129840,1610896
1482208,2182544,1144640,2155888,3374000,1681456,2195200,2069872,1617280,2368240,2072784
1483104,2415952,1564976,1677872,2418528,2479904,1701392,2168544,1371104,1887424,2154768
1484560,1694000,1902656,1616496,1351504,3063536,2232944,2050272,2075248,2058448,1705872
1484672,2499504,3095792,2800224,1822688,1667680,1740592,1784832,2234736,1688960,2910432
1485008,1139936,1681344,2210096,2305072,1756496,3292464,3456880,1471008,2047136,4067728
1489376,1505952,2816352,2943920,2792944,1518048,1862448,4048688,2350320,1850128,1523424
1489488,2807840,3920112,2556624,1800848,2244032,2286816,2333408,1514912,1902096,1744624
1491616,2154656,1698032,1690080,1124480,2115344,2816688,1449168,3749424,1779120,2717008
1494528,1758960,1776880,1124480,4170208,2555056,1382752,2362192,1838592,2236528,2119264
1495760,2118480,1639680,2333744,1741936,2027872,1534848,2307424,1120896,4113984,2242128
1496768,1686944,2419648,3603824,1428896,2489312,2481024,1386224,1939056,3793328,1687840
1497216,2112880,1623216,2035152,1518048,2914912,2336544,2192064,1705424,1413552,2321648
1499120,1873648,1521968,2464672,2551808,1924832,1386784,1534624,1995392,1666896,1673840
1503152,3151008,1571360,3430448,2543856,2894864,2278864,1638896,2004240,1352064,1773744
1503712,3083472,2061920,2367456,1885072,1684032,2080288,1377376,3352384,1388352,2130352
1505504,2479792,2181760,2334192,2122288,2881760,1383088,1379056,1700384,1918784,2289952
1510320,2821504,2113664,2155328,2927008,2424128,2761248,1143968,1429568,2303504,2334528
1510544,1124256,1357664,2260832,3979584,2299920,2915920,1708336,2303392,2094848,1666784
1513904,1140272,2308432,3700816,3417568,1693104,2273376,1701392,3407152,1617280,1427888
1515024,3195472,2317952,2226784,1993712,1777888,1692992,1858528,1534848,2073568,2333744
1516816,2199568,1950256,3194016,1687056,1903888,1684480,2240448,3293024,1648976,1371328
1518272,2153088,3558240,1726144,1939280,2956464,2900576,1566096,3603824,1120672,2725296
1520064,3516688,2542736,1622320,2307536,1903216,1901984,1606528,2481024,1447712,1617392
1521072,3310944,2042768,1639680,3644368,1750224,3456320,1491952,2106272,2338784,2407776
1522640,1683808,2846704,3374560,1908816,1815184,3772384,2304400,1492288,1772848,3352160
1527008,2308768,2580704,1693104,3464832,1574608,2308432,1371104,3066224,3699920,2418528
1527344,2845248,1376368,3372656,1376480,2846368,3971520,1487696,3741136,1576400,1690752
1527904,1865360,3366496,2959824,2321648,2637488,3306912,2403184,1727712,3561152,1687952
1528576,1579648,2014880,1905680,1958544,1439760,2167200,2344496,2247504,2708160,1690416
1531488,2716560,1687504,1521632,2086336,1773968,2377312,3092096,2416848,3559024,2320304
1534064,1537760,1694112,2224432,2144352,2308432,1144640,2900352,3434144,3879792,3700704
1534960,2286816,2517536,3563392,1379056,4177264,2844016,3352160,2149952,1523088,3922016
1540448,2424128,2051728,2787456,1126608,2192960,1142736,1685152,2223088,3712912,2888592
1542240,1676416,2860144,2359392,4029424,1765232,1849008,2030000,2367008,3434592,2061584
1543360,1683808,1907024,2083536,2890048,2766176,4059664,2321312,2041648,2551808,1448720
1545376,3194240,2209536,3138576,2602880,2818256,3356864,2160032,1676304,1740144,2122288
1546272,3512432,1136016,3851232,1920912,3416784,2860816,1134336,1121344,2685648,2927904
1547392,1368192,2055648,2861040,2329376,2140432,2544192,2713200,3830848,2414832,3154704
1548960,2110528,4135824,1718080,1866368,1351504,2064944,3424064,2146032,2397808,2164512
1549856,2153088,3356864,1373344,1681680,2123072,2492112,1386224,1917328,2489312,3576720
1551312,1508416,2188592,2043776,3864448,2861040,3098368,2463328,1450400,1428448,1494416
1553104,2385152,1666896,1444800,1973664,3788624,1948128,1772848,1681680,2229024,1658272
1553552,2846480,1685712,1692880,2056656,2396688,1463952,1137360,2830576,3793328,1620976
1553776,3492160,2937536,1648976,2462992,1908032,1492400,2514736,1549632,1836016,3084368
1555232,1675184,2209872,2224992,2545088,4136608,1596896,1609216,1564976,2481024,1352400
1556016,1681344,3304112,2431296,2851520,1411984,3063536,2545088,3681440,1477280,2952096
1556464,1771616,1596000,1519952,2444176,1684592,2842336,2894192,2136400,1626240,3066224
1557920,1413664,1969184,2944256,1531600,2715776,2192960,1927184,1489040,3304336,2814336
1560720,2440816,2943920,1590960,2533776,2792944,1729392,1950480,3070704,1386224,2432864
1565200,1143968,2160928,2602432,1695120,1428224,1692992,2113664,2761248,1121904,2323664
1567888,2308432,3487344,2290848,3554208,2901472,2192064,1685824,1684592,2845248,1629712
1569120,2118144,3456320,1399216,1550976,1729280,1364496,1551200,1762880,2228464,1401568
1571360,2445072,2555056,1684256,1727376,2438576,2236528,2817584,3741136,1124480,1639680
1573712,2186240,2929696,2558304,3430672,2637712,1563744,2952096,1600256,1902656,4008816
1574160,1668352,1384992,1782704,2690240,2119600,1763664,1964368,2642192,2317952,2362192
1576176,2959040,2699200,1413664,2852192,1698256,2638832,1446816,2570736,2304400,1703520
1579088,1600368,1755488,2889712,1687728,1444912,3092656,1599136,2365328,2441376,2448432
1580320,1804544,2375632,2926672,2603104,3559472,2051616,3716608,2414160,1401120,2041872
1581888,1645840,2276736,1648192,1673952,2455152,2901472,2337552,2174144,2081408,2043664
1583904,2045568,2888368,2889712,1378048,1371328,1623328,1724464,1655136,1599136,2639952
1584576,1718080,1661520,1140384,1927520,2076256,2703792,2123408,2754976,1885184,3720864
1589056,2142784,3068016,2230816,1602832,1979040,4177264,3310944,2047136,2514736,1648304
1589504,2271472,2186016,1429904,1428560,1667120,1449952,3097360,2091040,1518160,1841952
1590624,2537696,1124144,2706144,1990240,2945712,3924368,1548960,1732640,3559584,1908928
1591296,4126304,2825760,2290848,1773296,2243360,2638384,2825536,1683808,1383872,2809184
1592416,3098144,1727712,1580992,1686048,2035264,2070544,1839040,3562384,3864448,1862448
1595552,2409792,2185904,2041872,2577232,2716560,4012848,2725856,3418800,3725792,1579648
1595776,1578080,4136608,2083536,1976352,2414720,1691872,2685088,2329712,3066896,3191888
1597008,2240336,2479792,2845248,3072496,1383088,1121568,1904336,2225664,4067728,3301648
1600144,2414048,1904336,1752128,2578016,2856896,1693776,1921248,2073568,2055984,1927408
1600368,1371328,2164736,2384032,1538208,3660048,2336656,1627360,2450672,1755376,3352160
1600592,1377376,1534624,1865360,2450896,1971984,2603328,2020816,2411472,2155440,2894192
1602048,3150784,4083184,2761248,2077376,2959040,3304336,2466576,2375968,1518160,3406144
1604064,1998416,2112880,1429344,1921248,3699920,2001776,2055984,3411184,2816352,1493520
1604176,1509984,1880256,2166752,2019248,2344832,1375248,1432704,2554944,1355088,2846592
1608656,2336544,1865360,2216144,2035152,2110080,3832080,1962688,3063536,2018688,1682464
1609552,2927792,1561616,1902096,1377824,1553888,2755536,1863680,2181760,2174144,2167200
1611344,2079728,1683696,3920112,1448720,2014880,1955184,1377824,2699200,2181760,3107216
1611904,1995392,1650992,2479232,2340912,2847600,1773296,1124816,1131648,1609216,2943024
1612576,2240336,1770384,2041648,1664656,2906848,2451344,3301648,2040080,1124368,2769984
1613136,2816688,1121008,2579024,1555456,1529584,2290512,2242240,2601648,1570128,1645728
1618176,1618288,2475760,2412928,1589728,2582720,2405536,2154656,1778224,1422400,2901472
1621424,1120896,1682464,2850848,1755488,1966608,1682016,1683248,3424064,3126032,2155888
1621984,1453424,4135824,1879360,1137248,4008928,2058336,1668240,2140432,2876496,2209424
1622320,1694112,3172960,1917888,2344832,1714160,1933680,3379152,3610768,2582272,2181536
1623216,1676304,1352400,1997632,1908704,2855104,2506112,3953824,2282224,2572752,3963344
1624784,2716336,2240336,2602096,3621632,1664656,3788624,1566096,3193792,2451904,1420160
1628032,2109744,1915872,3184496,1760416,3604832,2572528,1781472,2468592,3713696,1498448
1630160,2451344,2759680,2803360,1379056,1927296,1908928,1548960,4187904,1373008,2122288
1631840,3171168,1691088,2365104,2815792,2261168,1872976,3352832,2873472,1682240,1687728
1632736,2566592,3788624,2927904,2414048,1534624,3893344,2118480,2532768,1568112,1964928
1634976,2601424,3171280,1687392,1537760,1648416,1398208,1892128,1694112,2308432,2418528
1635872,1544816,1700160,2200240,2107280,2508128,1686944,1124256,2123072,1648304,1606080
1636768,2816352,3743152,2424128,4048688,2005584,1565760,3575824,2580704,1887424,4073888
1637552,2602880,2818256,1356880,1676304,1709680,4029200,3310496,1970752,1762656,2377984
1639792,2481024,3410624,2851520,2231488,2873360,1374240,1469552,3311056,2104592,2544192
1641696,2229696,2958592,2566704,1804320,1763664,1914640,1497328,1511328,1675184,2479232
1644160,2429392,1970192,4012176,2521344,1908032,2224768,1784272,2243472,3375344,1717744
1647856,2339680,1886976,4114656,2155104,2144240,3788624,1785168,2115344,1687168,2424128
1652784,3968832,1137360,2183216,2873360,1693104,2299024,2208640,2846032,1600368,1700160
1653120,2852192,2954896,1427664,3555216,2256576,2888816,2930256,2928688,2515632,2830128
1654352,4007584,1697360,1783936,1618288,2122176,2493344,1606416,3410624,2228464,2022384
1654688,2271136,3967264,2118592,2051728,2896544,1870512,2098096,1988112,4019120,2067520
1656032,1361024,2685648,2243472,3155488,1920912,1547728,2535568,1771168,1947232,3410960
1657936,1687392,1392944,1537760,1415792,3955616,1700048,2073568,3092880,1592528,2377312
1658272,1765344,2910992,1142176,2305408,2269904,2046016,1375248,1378832,1760416,2551920
1660960,2638160,3408608,1543136,1705312,2304512,1740592,2821392,3725344,2039520,1908032
1665104,1548960,2086336,1428560,4187904,3154480,2022496,2896544,2335200,2334752,3784816
1667456,1420720,2699200,3082912,4043536,1432480,2085104,2049936,2299920,1687616,1667680
1670368,1124144,1990240,1705536,1725472,2356816,2274384,1990800,3358544,1687392,1694448
1673280,2442048,1685488,2306640,1681792,2165968,2304400,2098096,1916208,1414672,1436288
1674288,1366960,1596896,2699648,2479904,3700816,1729392,4060224,3604496,2110528,2148608
1675856,1400224,2555056,2716336,2336656,2342816,1639680,2276400,1687504,1369760,3714032
1677312,1362704,3411072,2232496,2838080,2154320,1493520,4044768,1580880,2339008,3713920
1678432,2371376,1235808,3107216,1403920,2273376,2021040,1683808,1958656,2154208,1363152
1683136,1400224,2119264,2232496,4007472,2555056,1529584,1362032,1970080,1515808,2407776
1684592,2118144,3917984,2339792,1445360,1668352,2167200,2618336,1691872,2766288,3406592
1685152,1690864,1449168,2889712,2910096,2367792,4036592,2491216,1422400,1397760,1609776
1689184,2818704,1656032,2020816,2136176,2943360,1781696,1415344,1940288,2964640,2601648
1689632,2405872,2715664,2183216,2570736,1124480,1386784,1728720,2601424,2115680,1666224
1692544,1661520,3107664,2352560,2413264,3080224,2165856,1622320,1549408,3490816,1390256
1692880,3952144,2900576,1471456,1386672,1519504,3719184,1417584,1682800,1384992,2551136
1693216,1531264,3064096,1726144,1708336,1532272,2956464,1905680,2285808,1377936,2558304
1693552,2928016,1772848,2540944,2960720,1419824,2046016,1367184,1748768,1531600,1417584
1695008,1618288,2226784,2182432,3070032,1691088,3490592,3954384,3533040,2940672,3150336
1695904,3862544,2882768,2210096,4164832,2115008,2303280,3097024,1517488,1724688,2169776
1701280,1922592,2118592,1681680,3931648,3713584,2370592,1672608,3772384,2300592,1506064
1701728,2847152,1696016,1873312,2307424,3408608,1534848,2055200,2118480,2337552,2142784
1703520,2718016,1728496,2914912,3831968,2511712,1673728,2321648,2421776,1933344,3700816
1704192,1617392,1597008,2824528,1126608,3129728,3483536,2224992,1376480,2122960,2448544
1706992,1885968,3415664,1623888,2109968,2380448,2305072,2499504,1610000,2912896,1609776
1711360,2181536,3375008,1366400,1368192,1675296,1368864,2026864,1683360,3924368,2915808
1713264,3286080,1588720,1760416,1694560,1597904,2160928,2761248,1597792,1356880,1490944
1717632,2807840,1429120,1605072,1676528,2109408,2459632,1713376,2709280,1799616,1450848
1718528,2946720,2044336,1727712,1129296,1581440,1617952,2914912,2265984,1384768,2941120
1719984,2515072,1873424,2153088,1362592,1566544,2567152,2479792,1417360,2916032,2006592
1727152,2405872,1554000,3179008,1386784,2191280,1360800,2167088,2708160,1122576,3712128
1727824,2017344,2574992,1616496,1676528,1933568,2061248,1605072,1635312,2408896,4006352
1729168,1568112,1705872,2935744,1424752,1835680,2276288,1360800,1773968,3434368,1351504
1729392,2942240,1376704,1709008,1740144,2397136,2073008,2070544,3555552,1782592,1750448
1737680,2118144,1364496,2045568,3554096,1547840,2641184,1432704,1509984,1741936,2014880
1740256,1865360,1684816,1708336,3353056,1923824,2061584,1765232,2232944,2094848,1676416
1749888,2582720,2000320,2920736,1561616,1477616,2901472,1426544,2409008,2095856,2546992
1750672,1677760,1666784,1547840,3111248,2481024,1794016,2821280,2340912,1414000,3561712
1750896,2847152,1838480,1667120,3561488,1686944,3949008,3741808,2028656,2641184,3953824
1753696,3561600,2141216,3788624,2405872,2223648,1534624,1752128,2856896,2073568,1507072
1755152,1729168,1700272,3419136,1360800,1767248,1872192,1950480,2321648,1636096,1429904
1756272,2888928,3309936,2541952,3562720,1683248,1399216,1538320,4028640,1569568,3111472
1756384,2291632,1370320,3068352,1725696,3862544,1813504,2877392,3292464,3931984,1646624
